psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,mar,4-Mar,meet,rel1,intdatea,intdateb,intdatec,intdated,intdatee,celldatea,celldateb,breaka,breakb,date1a,date3a,date3b,date9a,date9b,date9c,date9d,rel5,rel6,q13a,q13b,q13c,age,educ2,emplnw,hisp,race,inc,lgbt
100006,1,1,5,05109,3,R,2,1,2,2,1,1, ,2,2,2,2,2,2,2,2, , ,1,1,1,2,7,2,2,2,2,2,2, ,1, , ,2,2,2, , , , , , , ,2,1,1,1,1,2,2,1,3,2,2,2,77,8,3,2,1,5,1
100017,1,1,17,17031,2,S,2,1,2,2,1,1, ,1,1,1,2,2,2,1,2,2, ,1,2,1,1,1,1,1,1,2,1,1,2,1, , ,2,2,2, , , , , , , ,2,1,2,2,1,2,2,2,1,2,2,2,38,6,2,2,1,9,1
100025,1,1,34,34039,1,S,2,2,1,3, , ,1,1,1,2,2,2,2,1,2, , ,1,2,1,1,3,1,1,1,2,1,1,1,1, , ,2,1,2, , , , , , , ,2,1,1,1,2,2,1,1,1,2,2,2,51,4,1,2,4,8,1
100027,1,1,26,26045,2,S,1,2,1,5, , ,2,2, , , , , , , , , ,1,2,1,2,99,2,2,2,2,2,2, ,5,2, , , , , , , , , , , , ,2,2,9,9,8,2, , ,2,2,2,88,4,3,2,1,2,9
100028,1,1,45,45091,3,U,2,2,2,3, , ,1,2,1,1,2,2,2,1,2, ,2,1,2,1,2,7,2,2,2,2,2,1, ,1, , ,2,2,2, , , , , , , ,2,2,2,2,2,1,2,1,3,2,2,2,62,6,3,2,1,99,1
100031,1,1,19,19061,2,R,2,1,2,4,1,2, ,2,2,1,2,2,2,2,2,2, ,1,2,1,2,8,2,2,2,2,2,1, ,1, , ,2,2,2, , , , , , , ,2,2,2,2,2,1,1,2,3,2,2,2,48,5,1,2,1,3,1
100036,1,1,34,34025,1,S,1,2,1,3, , ,1,1,1,1,1,2,2,1,2, ,2,1,1,1,1,3,1,1,1,2,1,1,2,1, , ,2,2,2, , , , , , , ,2,2,2,1,1,2,1,2,3,2,2,2,77,6,3,2,1,7,1
100041,1,1,48,48245,3,U,1,1,1,5,1,1, ,2,1,1,2,2,2,1,1,1, ,1,2,1,2,98,2,2,1,2,2,1,2,2, , ,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,67,4,3,2,1,2,1
100052,1,1,12,12053,3,S,2,1,2,2,1,1, ,2,1,1,2,2,2,1,2,2, ,1,2,1,2,8,2,2,2,2,2,1, ,1, , ,2,2,2, , , , , , , ,2,2,2,2,2,1,1,1,3,2,2,2,48,6,1,2,1,99,1
100056,1,1,55,55093,2,S,2,2,2,2, , ,1,2,1,1,2,2,2,2,2, ,2,1,2,1,2,14,2,2,2,2,2,2, ,1, , ,2,2,2, , , , , , , ,2,2,2,1,2,2,1,1,3,2,2,2,59,4,1,2,1,5,1
